ID,Date,IngredientName,Stock
0,2021-04-09 23:04:42.082296,chicken,7
1,2021-04-09 23:04:42.082296,bread,292
2,2021-04-09 23:04:42.082296,lettuce,298
3,2021-04-09 23:04:42.082296,potato,185
4,2021-04-09 23:04:42.082296,carotte,282
5,2021-04-09 23:04:42.082296,rice,41
6,2021-04-09 23:04:42.082296,pork,13
7,2021-04-09 23:04:42.082296,mushroom,173
8,2021-04-09 23:04:42.082296,tomato,298
9,2021-04-09 23:04:42.082296,egg,226
10,2021-04-09 23:04:42.082296,beef,292
11,2021-04-08 23:04:42.082296,chicken,67
12,2021-04-08 23:04:42.082296,bread,87
13,2021-04-08 23:04:42.082296,lettuce,253
14,2021-04-08 23:04:42.082296,potato,260
15,2021-04-08 23:04:42.082296,carotte,136
16,2021-04-08 23:04:42.082296,rice,14
17,2021-04-08 23:04:42.082296,pork,246
18,2021-04-08 23:04:42.082296,mushroom,75
19,2021-04-08 23:04:42.082296,tomato,227
20,2021-04-08 23:04:42.082296,egg,10
21,2021-04-08 23:04:42.082296,beef,222
22,2021-04-07 23:04:42.082296,chicken,134
23,2021-04-07 23:04:42.082296,bread,240
24,2021-04-07 23:04:42.082296,lettuce,100
25,2021-04-07 23:04:42.082296,potato,227
26,2021-04-07 23:04:42.082296,carotte,185
27,2021-04-07 23:04:42.082296,rice,9
28,2021-04-07 23:04:42.082296,pork,103
29,2021-04-07 23:04:42.082296,mushroom,223
30,2021-04-07 23:04:42.082296,tomato,49
31,2021-04-07 23:04:42.082296,egg,132
32,2021-04-07 23:04:42.082296,beef,29
33,2021-04-06 23:04:42.082296,chicken,234
34,2021-04-06 23:04:42.082296,bread,124
35,2021-04-06 23:04:42.082296,lettuce,236
36,2021-04-06 23:04:42.082296,potato,129
37,2021-04-06 23:04:42.082296,carotte,195
38,2021-04-06 23:04:42.082296,rice,29
39,2021-04-06 23:04:42.082296,pork,193
40,2021-04-06 23:04:42.082296,mushroom,161
41,2021-04-06 23:04:42.082296,tomato,294
42,2021-04-06 23:04:42.082296,egg,256
43,2021-04-06 23:04:42.082296,beef,270
44,2021-04-05 23:04:42.082296,chicken,255
45,2021-04-05 23:04:42.082296,bread,150
46,2021-04-05 23:04:42.082296,lettuce,152
47,2021-04-05 23:04:42.082296,potato,144
48,2021-04-05 23:04:42.082296,carotte,103
49,2021-04-05 23:04:42.082296,rice,29
50,2021-04-05 23:04:42.082296,pork,238
51,2021-04-05 23:04:42.082296,mushroom,43
52,2021-04-05 23:04:42.082296,tomato,258
53,2021-04-05 23:04:42.082296,egg,180
54,2021-04-05 23:04:42.082296,beef,209
55,2021-04-04 23:04:42.082296,chicken,248
56,2021-04-04 23:04:42.082296,bread,264
57,2021-04-04 23:04:42.082296,lettuce,89
58,2021-04-04 23:04:42.082296,potato,52
59,2021-04-04 23:04:42.082296,carotte,210
60,2021-04-04 23:04:42.082296,rice,6
61,2021-04-04 23:04:42.082296,pork,239
62,2021-04-04 23:04:42.082296,mushroom,123
63,2021-04-04 23:04:42.082296,tomato,117
64,2021-04-04 23:04:42.082296,egg,289
65,2021-04-04 23:04:42.082296,beef,299
66,2021-04-03 23:04:42.082296,chicken,245
67,2021-04-03 23:04:42.082296,bread,0
68,2021-04-03 23:04:42.082296,lettuce,284
69,2021-04-03 23:04:42.082296,potato,57
70,2021-04-03 23:04:42.082296,carotte,37
71,2021-04-03 23:04:42.082296,rice,152
72,2021-04-03 23:04:42.082296,pork,105
73,2021-04-03 23:04:42.082296,mushroom,214
74,2021-04-03 23:04:42.082296,tomato,231
75,2021-04-03 23:04:42.082296,egg,115
76,2021-04-03 23:04:42.082296,beef,109
77,2021-04-02 23:04:42.082296,chicken,194
78,2021-04-02 23:04:42.082296,bread,277
79,2021-04-02 23:04:42.082296,lettuce,240
80,2021-04-02 23:04:42.082296,potato,279
81,2021-04-02 23:04:42.082296,carotte,196
82,2021-04-02 23:04:42.082296,rice,265
83,2021-04-02 23:04:42.082296,pork,104
84,2021-04-02 23:04:42.082296,mushroom,230
85,2021-04-02 23:04:42.082296,tomato,142
86,2021-04-02 23:04:42.082296,egg,280
87,2021-04-02 23:04:42.082296,beef,262
88,2021-04-01 23:04:42.082296,chicken,234
89,2021-04-01 23:04:42.082296,bread,218
90,2021-04-01 23:04:42.082296,lettuce,266
91,2021-04-01 23:04:42.082296,potato,20
92,2021-04-01 23:04:42.082296,carotte,17
93,2021-04-01 23:04:42.082296,rice,281
94,2021-04-01 23:04:42.082296,pork,70
95,2021-04-01 23:04:42.082296,mushroom,33
96,2021-04-01 23:04:42.082296,tomato,165
97,2021-04-01 23:04:42.082296,egg,54
98,2021-04-01 23:04:42.082296,beef,171
99,2021-03-31 23:04:42.082296,chicken,68
100,2021-03-31 23:04:42.082296,bread,24
101,2021-03-31 23:04:42.082296,lettuce,18
102,2021-03-31 23:04:42.082296,potato,208
103,2021-03-31 23:04:42.082296,carotte,284
104,2021-03-31 23:04:42.082296,rice,233
105,2021-03-31 23:04:42.082296,pork,266
106,2021-03-31 23:04:42.082296,mushroom,94
107,2021-03-31 23:04:42.082296,tomato,78
108,2021-03-31 23:04:42.082296,egg,216
109,2021-03-31 23:04:42.082296,beef,190
110,2021-03-30 23:04:42.082296,chicken,198
111,2021-03-30 23:04:42.082296,bread,172
112,2021-03-30 23:04:42.082296,lettuce,291
113,2021-03-30 23:04:42.082296,potato,25
