OrderDate,ItemName
20190803,Plain Papadum
20190803,King Prawn Balti
20190803,Garlic Naan
20190803,Mushroom Rice
20190803,Paneer Tikka Masala
20190803,Mango Chutney
20190803,Plain Naan
20190803,Mushroom Rice
20190803,Tandoori Chicken (1/4)
20190803,Vindaloo - Lamb
20190803,Chapati
20190803,Lamb Tikka
20190803,Saag Paneer
20190803,Aloo Chaat
20190803,Chicken Pakora
20190803,Chicken Chilli Garlic
20190803,Lamb Biryani
20190803,Keema Naan
20190803,Chicken Pakora
20190803,Plain Papadum
20190803,Mango Chutney
20190803,Red Sauce
20190803,Korma - Prawn
20190803,Peshwari Naan
20190803,Pilau Rice
20190803,Chicken Balti
20190803,Special Fried Rice
20190803,Chicken Tikka Masala
20190803,Curry - Lamb
20190803,Pilau Rice
20190803,Peshwari Naan
20190803,Plain Papadum
20190803,Plain Papadum
20190803,Vegetable Rice
20190803,Saag - Prawn
20190803,Tandoori Chicken Masala
20190803,Pilau Rice
20190803,Lamb Tikka Chilli Masala
20190803,Peshwari Naan
20190803,Saag Aloo
20190803,Aloo Gobi
20190803,Bhindi Bhajee
20190803,Saag Paneer
20190803,Mint Sauce
20190803,Chicken Biryani
20190803,Garlic Naan
20190803,Plain Naan
20190803,Tandoori Chicken Masala
20190803,Plain Papadum
20190803,Red Sauce
20190803,Chicken Tikka Masala
20190803,Madras - Chicken Tikka
20190803,Mushroom Rice
20190803,Garlic Naan
20190803,Bombay Aloo
20190803,Onion Bhajee
20190803,Sheek Kebab
20190803,Plain Papadum
20190803,Mango Chutney
20190803,Mint Sauce
20190803,Onion Chutney
20190803,Chicken Tikka (Main)
20190803,Korma - Chicken
20190803,Chicken Tikka Masala
20190803,Plain Rice
20190803,Pilau Rice
20190803,Keema Naan
20190803,French Fries
20190803,Chicken Biryani
20190803,Mushroom Rice
20190803,Onion Bhajee
20190803,Korma - Chicken
20190803,Peshwari Naan
20190803,Pilau Rice
20190803,Chicken Tikka (Main)
20190803,Chicken Tikka Masala
20190803,Meat Samosa
20190803,Plain Papadum
20190803,Mango Chutney
20190803,Mint Sauce
20190803,Red Sauce
20190803,Keema Rice
20190803,Keema Naan
20190803,Chicken Chilli Garlic
20190803,Lamb Hari Mirch
20190803,Mushroom Bhajee
20190803,Curry - Chicken
20190803,Bombay Aloo
20190803,Plain Naan
20190803,Vegetable Rice
20190803,Chicken Tikka Biryani
20190803,Mixed Starter
20190803,Onion Bhajee
20190803,Chicken Tikka Biryani
20190803,Bhuna - Chicken Tikka
20190803,Mushroom Rice
20190803,Keema Rice
20190803,Madras - Lamb
20190803,Bombay Aloo
20190803,Masala Sauce
20190803,Mushroom Rice
20190803,Bottle Coke
20190803,Peshwari Naan
20190803,Tandoori Mixed Grill
20190803,Plain Papadum
20190803,Mint Sauce
20190803,Mango Chutney
20190803,Korma Sauce
20190803,Pathia - Prawn
20190803,Chicken Biryani
20190803,Peshwari Naan
20190803,Plain Papadum
20190803,Mint Sauce
20190803,Chicken Tikka Jalfrezi
20190803,Bhuna - Lamb
20190803,Special Fried Rice
20190803,Peshwari Naan
20190803,Aloo Gobi
20190803,Chicken Tikka Masala
20190803,Meat Samosa
20190803,Mixed Vegetable Curry
20190803,Dupiaza - Lamb
20190803,Lemon Rice
20190803,Methi - Lamb
20190803,Pilau Rice
20190803,Garlic Naan
20190803,Onion Bhajee
20190803,Spicy Papadum
20190803,Plain Naan
20190803,Pilau Rice
20190803,Chicken Tikka Masala
20190803,Bhuna - Lamb
20190803,Plain Papadum
20190803,Lamb Biryani
20190803,Plain Naan
20190802,Lamb Tikka
20190802,Onion Bhajee
20190802,Saag Paneer
20190802,Chicken Tikka Masala
20190802,Keema Rice
20190802,Rogon - Lamb
20190802,Chicken Tikka Karahi
20190802,Pilau Rice
20190802,Bombay Aloo
20190802,Onion Bhajee
20190802,French Fries
20190802,Chicken Tikka Masala
20190802,Korma - Chicken
20190802,Plain Naan
20190802,Pilau Rice
20190802,Aloo Chaat
20190802,Chicken Tikka Masala
20190802,Garlic Naan
20190802,Pilau Rice
20190802,Bhuna - Chicken
20190802,Plain Papadum
20190802,Lemon Rice
20190802,Lamb Mysore
20190802,Dhansak - Chicken
20190802,Chapati
20190802,Lamb Biryani
20190802,Peshwari Naan
20190802,Onion Bhajee
20190802,Aloo Gobi
20190802,Chicken Biryani
20190802,Madras - Chicken
20190802,Korma - Chicken
20190802,Chicken Balti
20190802,Chicken Tikka Chilli Masala
20190802,Lal Mirch Chicken
20190802,Korma - Prawn
20190802,Korma - King Prawn
20190802,Plain Rice
20190802,Mushroom Rice
20190802,Garlic Naan
20190802,Keema Naan
20190802,Peshwari Naan
20190802,Plain Papadum
20190802,Spicy Papadum
20190802,Mango Chutney
20190802,Onion Chutney
20190802,Red Sauce
20190802,Mint Sauce
20190802,Vindaloo - Chicken
20190802,Madras - Chicken Tikka
20190802,Plain Rice
20190802,Plain Naan
20190802,Madras - Chicken
20190802,Plain Papadum
20190802,Bombay Aloo
20190802,Chicken Tikka Jalfrezi
20190802,Pilau Rice
20190802,Plain Papadum
