OrderDate,Quantity
20160527,112
20160528,108
20160529,9
20160530,75
20160531,46
20160601,29
20160602,44
20160603,91
20160604,80
20160605,16
20160606,21
20160607,9
20160608,6
20160609,16
20160610,111
20160611,28
20160612,74
20160613,20
20160614,16
20160615,15
20160616,11
20160617,62
20160618,30
20160619,101
20160717,51
20160718,15
20160719,30
20160720,7
20160721,98
20160722,69
20160723,48
20160724,45
20160725,52
20160726,8
20160727,11
20160728,10
20160729,60
20160730,57
20160731,45
20160802,49
20160803,78
20160804,27
20160805,89
20160806,73
20160807,38
20160808,14
20160809,24
20160810,18
20160811,42
20160812,100
20160813,42
20160814,28
20160815,31
20160816,34
20160817,32
20160818,18
20160819,37
20160820,78
20160821,108
20160822,38
20160823,4
20160824,49
20160825,45
20160826,100
20160827,36
20160828,54
20160829,42
20160830,32
20160831,56
20160901,22
20160902,39
20160903,136
20160904,86
20160905,24
20160906,32
20160907,30
20160908,8
20160909,62
20160910,115
20160911,30
20160912,49
20160913,20
20160914,14
20160915,22
20160916,74
20160917,60
20160918,73
20160919,38
20160920,19
20160921,54
20160922,8
20160923,77
20160924,114
20160925,55
20160926,38
20160927,24
20160928,5
20160929,41
20160930,99
20161001,174
20161002,70
20161003,21
20161004,56
20161005,11
20161006,30
20161007,110
20161008,100
20161009,66
20161010,52
20161011,7
20161012,18
20161013,83
20161014,167
20161015,143
20161016,108
20161017,42
20161018,17
20161019,21
20161020,51
20161021,64
20161022,94
20161023,129
20161024,48
20161025,27
20161026,28
20161027,47
20161028,61
20161029,87
20161030,91
20161031,65
20161101,30
20161102,24
20161103,47
20161104,85
20161105,121
20161106,71
20161107,38
20161108,46
20161109,49
20161110,90
20161111,65
20161112,123
20161113,59
20161114,19
20161115,16
20161116,65
20161117,34
20161118,56
20161119,141
20161120,70
20161121,60
20161122,52
20161123,51
20161124,31
20161125,81
20161126,135
20161127,60
20161128,21
20161129,22
20161130,74
20161201,70
20161202,96
20161203,84
20161204,65
20161205,39
20161206,34
20161207,23
20161208,22
20161209,95
20161210,107
20161211,50
20161212,40
20161213,39
20161214,4
20161215,129
20161216,102
20161217,140
20161218,94
20161219,29
20161220,83
20161221,51
20161222,40
20161223,118
20161224,99
20161225,22
20161226,27
20161227,76
20161228,87
20161229,30
20161230,56
20161231,213
20170101,102
20170102,68
20170103,58
20170104,91
20170105,19
20170106,93
20170107,129
20170108,98
20170109,31
20170110,6
20170111,39
20170112,52
20170113,54
20170114,117
20170115,40
20170116,28
20170117,2
20170118,81
20170119,51
20170120,93
20170121,123
20170122,30
20170123,56
20170124,27
20170125,74
20170126,62
20170127,149
20170128,137
20170129,20
20170130,6
20170131,63
20170201,59
20170202,10
20170203,60
20170204,136
20170205,66
20170206,21
20170207,25
20170208,62
20170209,58
20170210,70
20170211,93
20170212,30
20170213,28
20170214,108
20170215,34
20170216,40
20170217,116
20170218,149
20170219,35
20170220,11
20170221,19
20170222,46
20170223,33
20170224,67
20170225,115
20170226,30
20170227,22
20170228,2
20170301,55
20170302,43
20170303,34
20170304,93
20170305,52
20170306,7
20170307,33
20170308,32
20170309,19
20170310,77
20170311,106
20170312,55
20170313,40
20170314,21
20170315,37
20170316,54
20170317,163
20170318,122
20170319,52
20170320,56
20170321,32
20170322,23
20170323,13
20170324,99
20170325,60
20170326,132
20170327,24
20170328,39
20170329,34
20170330,49
20170331,104
20170401,192
20170402,84
20170403,36
20170404,31
20170405,60
20170406,47
20170407,110
20170408,108
20170409,95
20170410,8
20170411,34
20170412,67
20170413,97
20170414,102
20170415,128
20170416,52
20170417,95
20170418,26
20170419,23
20170420,52
20170421,97
20170422,198
20170423,45
20170424,53
20170425,23
20170426,98
20170427,39
20170428,144
20170429,124
20170430,52
20170501,23
20170502,45
20170503,19
20170504,39
20170505,124
20170506,101
20170507,64
20170508,78
20170509,36
20170510,38
20170511,57
20170512,74
20170513,99
20170514,62
20170515,37
20170516,46
20170517,36
20170518,55
20170519,89
20170520,86
20170521,1
20170523,51
20170524,38
20170525,59
20170526,113
20170527,107
20170528,57
20170529,94
20170530,35
20170531,36
20170601,39
20170602,112
20170603,106
20170604,106
20170605,34
20170606,28
20170607,63
20170608,48
20170609,69
20170610,68
20170611,104
20170612,16
20170613,40
20170614,37
20170615,46
20170616,55
20170617,68
20170618,72
20170619,34
20170620,40
20170621,27
20170622,47
20170623,161
20170624,135
20170625,123
20170626,67
20170627,81
20170628,39
20170629,40
20170630,134
20170701,119
20170702,99
20170703,108
20170704,88
20170705,51
20170706,75
20170707,75
20170708,86
20170709,87
20170710,52
20170711,30
20170712,53
20170713,75
20170714,143
20170715,146
20170716,62
20170717,42
20170718,45
20170719,72
20170720,38
20170721,85
20170722,124
20170723,59
20170724,27
20170725,67
20170726,49
20170727,83
20170728,115
20170729,95
20170730,89
20170731,17
20170801,29
20170802,62
20170803,29
20170804,130
20170805,129
20170806,77
20170807,66
20170808,15
20170809,37
20170810,42
20170811,67
20170812,106
20170813,62
20170814,39
20170815,42
20170816,37
20170817,72
20170818,129
20170819,72
20170820,65
20170821,29
20170822,39
20170823,51
20170824,76
20170825,94
20170826,91
20170827,67
20170828,100
20170829,64
20170830,35
20170831,24
20170901,126
20170902,101
20170903,110
20170904,21
20170905,17
20170906,26
20170907,52
20170908,106
20170909,143
20170910,39
